iter	Passed	Remaining
0	253	252989
1	254	126986
2	255	84944
3	259	64658
4	260	51923
5	261	43387
6	262	37275
7	268	33255
8	269	29664
9	270	26750
10	271	24376
11	272	22400
12	274	20814
13	275	19391
14	276	18141
15	277	17036
16	277	16070
17	278	15207
18	279	14440
19	281	13771
20	281	13144
21	282	12573
22	283	12051
23	284	11577
24	285	11141
25	286	10738
26	287	10374
27	289	10034
28	290	9710
29	290	9403
30	291	9117
31	292	8851
32	293	8599
33	294	8362
34	295	8139
35	296	7927
36	296	7727
37	297	7539
38	298	7358
39	299	7191
40	300	7028
41	301	6874
42	303	6745
43	304	6605
44	304	6472
45	306	6346
46	306	6223
47	307	6105
48	308	5992
49	309	5883
50	310	5777
51	311	5675
52	312	5579
53	313	5485
54	314	5397
55	315	5310
56	316	5228
57	317	5159
58	318	5086
59	319	5009
60	320	4936
61	321	4867
62	322	4801
63	323	4736
64	324	4673
65	326	4614
66	327	4554
67	328	4497
68	329	4440
69	330	4385
70	331	4332
71	332	4290
72	333	4238
73	334	4190
74	335	4140
75	336	4092
76	337	4046
77	338	4001
78	339	3955
79	340	3911
80	340	3868
81	341	3826
82	342	3781
83	343	3741
84	344	3703
85	344	3665
86	345	3630
87	347	3599
88	348	3566
89	349	3532
90	350	3499
91	351	3466
92	352	3435
93	353	3403
94	353	3372
95	354	3341
96	355	3310
97	356	3281
98	357	3252
99	358	3223
100	358	3195
101	359	3169
102	361	3147
103	362	3124
104	363	3100
105	364	3074
106	365	3050
107	366	3026
108	367	3002
109	368	2979
110	369	2956
111	369	2933
112	370	2911
113	372	2891
114	373	2874
115	374	2854
116	376	2838
117	377	2821
118	378	2803
119	379	2785
120	381	2767
121	381	2748
122	382	2730
123	383	2712
124	384	2693
125	385	2676
126	386	2657
127	387	2639
128	388	2621
129	389	2605
130	390	2592
131	391	2576
132	392	2559
133	393	2543
134	394	2526
135	395	2511
136	396	2495
137	397	2480
138	397	2464
139	398	2449
140	399	2434
141	400	2417
142	400	2402
143	401	2388
144	402	2374
145	403	2361
146	404	2349
147	406	2340
148	407	2327
149	408	2314
150	409	2301
151	410	2288
152	411	2275
153	411	2262
154	412	2249
155	413	2237
156	414	2225
157	415	2213
158	416	2202
159	417	2190
160	417	2177
161	418	2166
162	420	2157
163	421	2147
164	422	2137
165	423	2126
166	424	2115
167	424	2104
168	425	2093
169	426	2082
170	427	2072
171	428	2061
172	429	2050
173	429	2040
